mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
8.077579021453857,0.07963909381288656,0.3692294756571452,0.0018681834950095633,300,5,4,15,False,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 15, 'bootstrap': False}",0.6756068603870194,0.6710788821717347,0.6719723740775418,0.6728860388787653,0.0019581852493689715,8
4.29025141398112,0.08363992589991229,0.1906116008758545,0.003775182816186083,200,2,1,10,False,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': False}",0.6816862293987348,0.6866559236868744,0.6798313762734313,0.6827245097863468,0.0028812186625405993,7
6.173242251078288,0.050780219988700956,0.2839215596516927,0.00324505681988511,300,5,4,10,False,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 10, 'bootstrap': False}",0.685573424137069,0.6870604605298791,0.682992651656761,0.6852088454412364,0.0016805664672258208,5
4.128227313359578,0.04456711810682649,0.2439250946044922,0.0032515433221776448,200,2,1,15,True,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 15, 'bootstrap': True}",0.6658002358824258,0.666669458501332,0.6654389597547048,0.6659695513794875,0.0005164188187390225,9
2.2885791460673013,0.026588975899868056,0.1245872974395752,0.0008775032646729951,200,5,2,5,False,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 5, 'bootstrap': False}",0.6881384637667706,0.6916750840481826,0.6911022291130419,0.6903052589759984,0.0015499014599274917,1
4.684112151463826,0.09384371134614039,0.28259436289469403,0.023642598807083245,300,2,1,10,True,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': True}",0.6875265283844626,0.685670685233484,0.6847615004536083,0.6859862380238516,0.0011506592421253515,4
3.429159084955851,0.08790346911884635,0.1839603583017985,0.0032595931589637504,300,2,4,5,False,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 5, 'bootstrap': False}",0.6887285892519708,0.6903581756365522,0.6904204183040753,0.6898357277308661,0.0007832774076503076,3
1.54092272122701,0.024936797709425303,0.09464248021443684,0.001884694683864667,100,10,4,10,True,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 10, 'bootstrap': True}",0.6818755281210661,0.6872248995916662,0.6838833684026834,0.6843279320384719,0.002206380354383882,6
2.270118792851766,0.011548441396180758,0.12396605809529622,0.0032850437472956083,200,2,4,5,False,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 5, 'bootstrap': False}",0.6885768986214468,0.6913908752792534,0.6909207298451915,0.6902961679152972,0.0012307651714482404,2
2.7646168867746987,0.0018745233514556277,0.1306321620941162,0.0018955310557436456,100,2,2,15,False,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 15, 'bootstrap': False}",0.6672016615786227,0.6600706780863872,0.6693944692223106,0.6655556029624402,0.003980402158284392,10
