mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.9405771732330321,0.5376171234711586,0.029705810546875,0.007895107484164549,0.01,500,lbfgs,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.7171569904991444,0.7308768185656868,0.7293819558184182,0.7290319038812427,0.7295276902699046,0.7271950718068794,0.005057980984149066,13
1.131417465209961,0.0752903171314543,0.028943872451782225,0.007410678751806472,0.01,500,liblinear,"{'C': 0.01, 'max_iter': 500, 'solver': 'liblinear'}",0.716762408196213,0.7308157291694484,0.7296070691247031,0.7287569643030565,0.7295234374656092,0.727093121651806,0.005207229329526529,15
2.2421761035919188,0.5579032366255842,0.02245650291442871,0.0033562513208093064,0.01,1000,lbfgs,"{'C': 0.01, 'max_iter': 1000, 'solver': 'lbfgs'}",0.7171569904991444,0.7308768185656868,0.7293819558184182,0.7290319038812427,0.7295276902699046,0.7271950718068794,0.005057980984149066,13
1.1646970748901366,0.13044700168247014,0.028777027130126955,0.006113583982400921,0.01,1000,liblinear,"{'C': 0.01, 'max_iter': 1000, 'solver': 'liblinear'}",0.716762408196213,0.7308157291694484,0.7296070691247031,0.7287569643030565,0.7295234374656092,0.727093121651806,0.005207229329526529,15
4.4856041431427,0.5874784397618829,0.029728174209594727,0.008675317452764175,0.1,500,lbfgs,"{'C': 0.1, 'max_iter': 500, 'solver': 'lbfgs'}",0.7190007117399497,0.7318132242804317,0.7306845249594566,0.7301227859569277,0.7300299688403744,0.7283302431554279,0.004707785761089456,11
1.7181456565856934,0.09663451978996579,0.023636722564697267,0.002622682789583801,0.1,500,liblinear,"{'C': 0.1, 'max_iter': 500, 'solver': 'liblinear'}",0.7189841527094676,0.7318138955924784,0.7307018298922126,0.7301045113512155,0.7300475769423695,0.7283303932975487,0.004716077340968299,9
4.633436298370361,0.7285692013351653,0.02613668441772461,0.0015689746584831824,0.1,1000,lbfgs,"{'C': 0.1, 'max_iter': 1000, 'solver': 'lbfgs'}",0.7190007117399497,0.7318132242804317,0.7306845249594566,0.7301227859569277,0.7300299688403744,0.7283302431554279,0.004707785761089456,11
1.9421087741851806,0.24629458991541914,0.024187088012695312,0.0037212480984082394,0.1,1000,liblinear,"{'C': 0.1, 'max_iter': 1000, 'solver': 'liblinear'}",0.7189841527094676,0.7318138955924784,0.7307018298922126,0.7301045113512155,0.7300475769423695,0.7283303932975487,0.004716077340968299,9
5.642134428024292,1.4183306830019338,0.026966667175292967,0.002025547699174865,1.0,500,lbfgs,"{'C': 1, 'max_iter': 500, 'solver': 'lbfgs'}",0.7192755021376812,0.7316037003316729,0.7307871611123552,0.7301549343449361,0.7299953495211977,0.7283633294895686,0.004579015314434041,7
2.302150249481201,0.2127337725798676,0.023046588897705077,0.0033220327351509817,1.0,500,liblinear,"{'C': 1, 'max_iter': 500, 'solver': 'liblinear'}",0.7192667004908484,0.7318888587710126,0.7308112537558045,0.7301562023788017,0.7300184788077166,0.7284282988408368,0.004628242786354125,3
6.135215616226196,1.8281329424976758,0.033444976806640624,0.016119817670846425,1.0,1000,lbfgs,"{'C': 1, 'max_iter': 1000, 'solver': 'lbfgs'}",0.7192755021376812,0.7316037003316729,0.7307871611123552,0.7301533679501606,0.7299953495211977,0.7283630162106135,0.004578892780815276,8
2.3246694564819337,0.24043557094461224,0.024478578567504884,0.0025372704336843383,1.0,1000,liblinear,"{'C': 1, 'max_iter': 1000, 'solver': 'liblinear'}",0.7192667004908484,0.7318888587710126,0.7308112537558045,0.7301562023788017,0.7300184788077166,0.7284282988408368,0.004628242786354125,3
7.1327657222747805,0.9767404563643675,0.025900745391845705,0.004180177962332273,10.0,500,lbfgs,"{'C': 10, 'max_iter': 500, 'solver': 'lbfgs'}",0.7192687144269881,0.7318640202252894,0.7308128201505798,0.7301415826942319,0.7300226570014104,0.7284219588996999,0.004623099143969264,6
2.811299133300781,0.09800585069676059,0.024178028106689453,0.0017210973691636597,10.0,500,liblinear,"{'C': 10, 'max_iter': 500, 'solver': 'liblinear'}",0.7192845275551965,0.7318930358237469,0.7308075988346621,0.7301527712283414,0.7300178073123016,0.7284311481508496,0.004621132453170958,1
5.287414312362671,0.4311012159343648,0.009429025650024413,0.0029140086294111227,10.0,1000,lbfgs,"{'C': 10, 'max_iter': 1000, 'solver': 'lbfgs'}",0.719291389856117,0.7318640202252894,0.7308128201505798,0.7301415826942319,0.7300226570014104,0.7284264939855257,0.0046141203348468544,5
2.4497379779815676,0.3161514625395195,0.016531085968017577,0.002469916372037991,10.0,1000,liblinear,"{'C': 10, 'max_iter': 1000, 'solver': 'liblinear'}",0.7192845275551965,0.7318930358237469,0.7308075988346621,0.7301527712283414,0.7300178073123016,0.7284311481508496,0.004621132453170958,1
